"IDinegi","IDife","year","d_pri","d_pan","d_prd","d_nulo","d_part","p_pri","p_pan","p_prd","p_nulo","p_part"
"01001","01001",2006,0.278725641096116,0.456421955308798,0.176995437429569,0.0201776928785422,0.596437734116933,0.230355008691873,0.481495817036071,0.223686712299,0.0176961103867884,0.603536036589864
"01001","01001",2009,0.278918594121933,0.283291578292847,0.0387049317359924,0.0932547077536583,NA,NA,NA,NA,NA,NA
"01001","01001",2012,0.371168361742089,0.35355611467451,0.169953190790215,0.0865889842111537,0.557688748991644,0.376324406466903,0.324602451923367,0.238736891617268,0.0272328724167667,0.59586524589516
"01002","01002",2006,0.235808857099376,0.469258864708568,0.234210926799574,0.0308933191295084,0.516466242238466,0.231395611852522,0.476362813843022,0.236522657015758,0.0264646007690568,0.521221410044801
"01002","01002",2009,0.294523358345032,0.351588785648346,0.0334181785583496,0.0341571569442749,NA,NA,NA,NA,NA,NA
"01002","01002",2012,0.387506012506013,0.334535834535835,0.104617604617605,0.0767797017797018,0.567838852850802,0.430582579832895,0.342737781847316,0.125100148792492,0.0303307771546297,0.5965858654831
"01003","01003",2006,0.180682083625321,0.576676010277972,0.177236626956319,0.0221326792805419,0.45642091795938,0.171534110585248,0.581957751356343,0.193985917118781,0.0199699873023202,0.461805000266539
"01003","01003",2009,0.227395042777061,0.359930038452148,0.0818756744265556,0.046084500849247,NA,NA,NA,NA,NA,NA
"01003","01003",2012,0.392824984597886,0.383015022984693,0.10966304914459,0.0841666271740676,0.504097087842519,0.415458503523497,0.396247587414157,0.124422101530589,0.0325418555590466,0.532239183926993
"01004","01004",2006,0.317696335078534,0.456753926701571,0.151832460732984,0.0228272251308901,0.531974153297683,0.320184641208561,0.457406630297944,0.185900125891733,0.0232899706252623,0.530971479500891
"01004","01004",2009,0.492591828107834,0.237872943282127,0.0204992890357971,0.0178607665002346,NA,NA,NA,NA,NA,NA
"01004","01004",2012,0.461777931511588,0.206157039086821,0.0589761328260118,0.0852646143203044,0.570610875357742,0.528453947368421,0.251644736842105,0.0921052631578947,0.0305921052631579,0.600019737491365
"01005","01005",2006,0.299627137877928,0.501823782118829,0.126732593012888,0.0225743697819567,0.537653621546239,0.283854586490408,0.507697888118652,0.158229888763502,0.0182975979364823,0.540660681600279
"01005","01005",2009,0.303114354610443,0.37813138961792,0.0267788134515285,0.060150034725666,NA,NA,NA,NA,NA,NA
"01005","01005",2012,0.399112535436953,0.382472574879823,0.124399112535437,0.0944163687908295,0.53644989585744,0.416161383947815,0.374838357424064,0.155866547889307,0.0240811517572344,0.57524713194697
"01006","01006",2006,0.315195547998145,0.311485546452311,0.239449683104035,0.0268975112072963,0.540750647830812,0.325720876585928,0.309034986543637,0.297347174163783,0.0242983467896963,0.543550948758673
"01006","01006",2009,0.183362171053886,0.145069986581802,0.158672749996185,0.0486711747944355,NA,NA,NA,NA,NA,NA
"01006","01006",2012,0.40878620240807,0.145069964204361,0.156915066710055,0.0792710706150342,0.573684800059739,0.472295839753467,0.164869029275809,0.192973805855162,0.0282280431432974,0.605794720531681
"01007","01007",2006,0.261735419630156,0.44302987197724,0.189829302987198,0.0228307254623044,0.490168735183378,0.255346268233961,0.441792947174621,0.228013029315961,0.023296983430109,0.492330218937387
"01007","01007",2009,0.262513905763626,0.262599468231201,0.0377342328429222,0.0532215274870396,NA,NA,NA,NA,NA,NA
"01007","01007",2012,0.353706716244481,0.159016964908204,0.115733209388799,0.100162677201952,0.528737750744939,0.452025817649292,0.225416282475457,0.186147420947009,0.0382383251071216,0.56636869105766
"01008","01008",2006,0.219149671621155,0.372969236087107,0.298997580366402,0.0373314898029727,0.557848052448901,0.235878123930161,0.36836699760356,0.341321465251626,0.0249914412872304,0.563247204010798
"01008","01008",2009,0.254125416278839,0.313531339168549,0.0501650162041187,0.0353135317564011,NA,NA,NA,NA,NA,NA
"01008","01008",2012,0.343279640876683,0.183786638500132,0.189331925006602,0.0636387641932928,0.629802095459837,0.385996409335727,0.228007181328546,0.262887919979482,0.0328289304949987,0.648428405122235
"01009","01009",2006,0.275838349097163,0.488564058469475,0.168013757523646,0.0194325021496131,0.499270198334335,0.284318766066838,0.482947729220223,0.187146529562982,0.0188517566409597,0.500987378724135
"01009","01009",2009,0.274223029613495,0.306465029716492,0.0435432940721512,0.0287518706172705,NA,NA,NA,NA,NA,NA
"01009","01009",2012,0.388581002706534,0.298749838896765,0.132491300425313,0.0859646861708983,0.584966827503016,0.456212802137738,0.296368274019191,0.147455362565286,0.0257500303656018,0.620702653799759
"01010","01011",2006,0.386805318786226,0.335151721786567,0.200988748721446,0.0281281963859529,0.549611168368781,0.385220663701676,0.333903523776941,0.235545672254533,0.0302771125555936,0.547737280989413
"01010","01011",2009,0.359331965446472,0.308367758989334,0.0315082632005215,0.0433884300291538,NA,NA,NA,NA,NA,NA
"01010","01011",2012,0.441778020179984,0.181074447777475,0.26983910553586,0.0792200709026452,0.574134961640833,0.490949342362287,0.221773668446412,0.217606459174372,0.031384294830056,0.601142946610302
"01011","01010",2006,0.30020480758866,0.433545327153175,0.191872372534224,0.0224210412848981,0.535129210890632,0.27401159725883,0.450289931470743,0.222034791776489,0.0200316288877174,0.547127365020766
"01011","01010",2009,0.37261363863945,0.317840903997421,0.0360227264463902,0.0578409098088741,NA,NA,NA,NA,NA,NA
"01011","01010",2012,0.471024764445927,0.254315017093304,0.120987242558159,0.0898023847244226,0.523460346558422,0.496624505315434,0.266314890975402,0.148133778226119,0.0281679211608598,0.56248090436908
"02001","02001",2006,0.229479768786127,0.405260847296407,0.295719616594717,0.0233043096509841,0.483662628772034,0.183526262480104,0.482882361452756,0.276421646650268,0.0206482419331501,0.489147936993273
"02001","02001",2009,0.274640589952469,0.356484264135361,0.0775628462433815,0.0683332085609436,NA,NA,NA,NA,NA,NA
"02001","02001",2012,0.417924197227584,0.23406518687489,0.311732321459905,0.0264465257062643,0.545486088262214,0.382680024640923,0.224707929405916,0.366128457024284,0.0197451609765587,0.55353222342532
"02002","02002",2006,0.27700640516793,0.448283059152,0.171245859907481,0.0235608901541072,0.490879896806788,0.238431798141491,0.46646883266635,0.227372312283796,0.0211490198738384,0.49524007873857
"02002","02002",2009,0.26985028386116,0.40520915389061,0.0601673275232315,0.06790841370821,NA,NA,NA,NA,NA,NA
"02002","02002",2012,0.419876501271149,0.34749769878145,0.181859275006575,0.0279461076531954,0.545429822739491,0.404645602977533,0.325811622157624,0.242763997935288,0.0201771305930615,0.550011132013729
"02003","02003",2006,0.266677691417232,0.421332892343311,0.21518108152803,0.0218290061187366,0.465168159020278,0.239269102990033,0.457408637873754,0.246843853820598,0.0196345514950166,0.463091172036063
"02003","02003",2009,0.300668776035309,0.379500061273575,0.0399373918771744,0.068586066365242,NA,NA,NA,NA,NA,NA
"02003","02003",2012,0.466162009908709,0.28393229887081,0.213137841712144,0.0279405477453914,0.522647213459516,0.458347778713288,0.268362141548215,0.247709375464316,0.018473577336437,0.530783385909569
"02004","02004",2006,0.247569155781298,0.474607386486579,0.181473425275313,0.0164151738432279,0.428807227444756,0.215377385430744,0.495166741243583,0.233158920785823,0.0156409155197187,0.434360639726529
"02004","02004",2009,0.244111880660057,0.373952120542526,0.0540473200380802,0.062820591032505,NA,NA,NA,NA,NA,NA
"02004","02004",2012,0.370196188537536,0.293233258628268,0.287701407028961,0.024886647179842,0.511767120827239,0.355504214306474,0.264454504701994,0.349080537342548,0.016461493242167,0.520870859312858
"02005","02005",2006,0.22460871044573,0.428929908132018,0.250723035045934,0.0204151071793127,0.42064585383308,0.184755422526549,0.455451228012629,0.307187666570995,0.0182869326335643,0.436335987118705
"02005","02005",2009,0.246998772025108,0.321664988994598,0.0917760580778122,0.0622685961425304,NA,NA,NA,NA,NA,NA
"02005","02005",2012,0.371237827250407,0.282187094816409,0.295208143672929,0.0250765538359679,0.487204645036424,0.350310188822366,0.252079213285292,0.369246606886463,0.0167962506434048,0.49612913631354
